Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.009,click,399,291,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
1.253,mousemove,400,291,,,,,,,1536,738,,,FALSE
1.356,mousemove,578,335,,,,,,,1536,738,,,FALSE
1.850,mousemove,741,373,,,,,,,1536,738,,,FALSE
1.956,mousemove,869,393,,,,,,,1536,738,,,FALSE
2.059,mousemove,990,418,,,,,,,1536,738,,,FALSE
2.162,mousemove,1014,437,,,,,,,1536,738,,,FALSE
2.265,mousemove,1034,470,,,,,,,1536,738,,,FALSE
2.425,mousemove,1036,482,,,,,,,1536,738,,,FALSE
3.092,mousemove,1035,490,,,,,,,1536,738,,,FALSE
3.203,mousemove,1027,488,,,,,,,1536,738,,,FALSE
3.368,mousemove,1024,487,,,,,,,1536,738,,,FALSE
3.477,mousemove,1016,472,,,,,,,1536,738,,,FALSE
4.167,mousemove,1011,467,,,,,,,1536,738,,,FALSE
4.271,mousemove,993,462,,,,,,,1536,738,,,FALSE
4.633,mousemove,963,454,,,,,,,1536,738,,,FALSE
4.751,mousemove,957,442,,,,,,,1536,738,,,FALSE
4.851,mousemove,957,443,,,,,,,1536,738,,,FALSE
5.420,click,955,465,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
15.529,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,D,,,,,,,FALSE
