Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.012,click,392,281,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
0.434,mousemove,394,281,,,,,,,1536,738,,,FALSE
0.539,mousemove,504,269,,,,,,,1536,738,,,FALSE
0.642,mousemove,591,261,,,,,,,1536,738,,,FALSE
0.745,mousemove,636,257,,,,,,,1536,738,,,FALSE
0.861,mousemove,674,249,,,,,,,1536,738,,,FALSE
2.152,mousemove,681,247,,,,,,,1536,738,,,FALSE
2.256,mousemove,677,247,,,,,,,1536,738,,,FALSE
2.542,mousemove,674,249,,,,,,,1536,738,,,FALSE
2.648,mousemove,648,377,,,,,,,1536,738,,,FALSE
2.751,mousemove,634,457,,,,,,,1536,738,,,FALSE
2.991,mousemove,634,462,,,,,,,1536,738,,,FALSE
3.097,mousemove,652,417,,,,,,,1536,738,,,FALSE
3.206,mousemove,656,383,,,,,,,1536,738,,,FALSE
3.309,mousemove,626,373,,,,,,,1536,738,,,FALSE
3.412,mousemove,572,373,,,,,,,1536,738,,,FALSE
3.634,mousemove,564,375,,,,,,,1536,738,,,FALSE
3.740,mousemove,550,428,,,,,,,1536,738,,,FALSE
3.842,mousemove,550,473,,,,,,,1536,738,,,FALSE
3.946,mousemove,570,493,,,,,,,1536,738,,,FALSE
4.062,mousemove,603,497,,,,,,,1536,738,,,FALSE
4.376,mousemove,604,497,,,,,,,1536,738,,,FALSE
4.630,mousemove,607,495,,,,,,,1536,738,,,FALSE
4.753,mousemove,608,495,,,,,,,1536,738,,,FALSE
4.855,mousemove,622,493,,,,,,,1536,738,,,FALSE
5.404,mousemove,631,487,,,,,,,1536,738,,,FALSE
5.509,mousemove,652,469,,,,,,,1536,738,,,FALSE
5.867,mousemove,658,463,,,,,,,1536,738,,,FALSE
6.108,mousemove,659,463,,,,,,,1536,738,,,FALSE
6.212,mousemove,742,469,,,,,,,1536,738,,,FALSE
7.910,mousemove,794,435,,,,,,,1536,738,,,FALSE
8.304,click,793,449,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
15.551,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,d,,,,,,,FALSE
15.754,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,e,,,,,,,FALSE
15.951,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
17.311,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
18.202,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
18.342,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,u,,,,,,,FALSE
18.560,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,n,,,,,,,FALSE
18.715,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,c,,,,,,,FALSE
18.970,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,t,,,,,,,FALSE
19.577,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,i,,,,,,,FALSE
19.789,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,o,,,,,,,FALSE
20.064,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,n,,,,,,,FALSE
20.988,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
21.810,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,n,,,,,,,FALSE
22.362,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,(,,,,,,,FALSE
23.436,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,),,,,,,,FALSE
24.164,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,ArrowLeft,,,,,,,FALSE
24.547,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,x,,,,,,,FALSE
24.990,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,",",,,,,,,FALSE
25.429,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,y,,,,,,,FALSE
25.899,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,ArrowRight,,,,,,,FALSE
26.432,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,:,,,,,,,FALSE
26.845,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Enter,,,,,,,FALSE
27.905,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
28.261,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
