Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.004,click,383,290,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
0.178,mousemove,383,291,,,,,,,1536,738,,,FALSE
0.282,mousemove,510,352,,,,,,,1536,738,,,FALSE
0.397,mousemove,585,372,,,,,,,1536,738,,,FALSE
0.500,mousemove,606,373,,,,,,,1536,738,,,FALSE
0.636,mousemove,609,374,,,,,,,1536,738,,,FALSE
0.742,mousemove,648,368,,,,,,,1536,738,,,FALSE
0.847,mousemove,669,356,,,,,,,1536,738,,,FALSE
1.136,mousemove,683,356,,,,,,,1536,738,,,FALSE
1.244,mousemove,689,349,,,,,,,1536,738,,,FALSE
1.349,mousemove,713,345,,,,,,,1536,738,,,FALSE
1.450,mousemove,732,345,,,,,,,1536,738,,,FALSE
1.554,mousemove,750,348,,,,,,,1536,738,,,FALSE
1.714,mousemove,768,350,,,,,,,1536,738,,,FALSE
1.824,mousemove,777,357,,,,,,,1536,738,,,FALSE
1.941,mousemove,778,357,,,,,,,1536,738,,,FALSE
2.045,mousemove,781,358,,,,,,,1536,738,,,FALSE
2.148,mousemove,788,360,,,,,,,1536,738,,,FALSE
2.255,mousemove,802,366,,,,,,,1536,738,,,FALSE
2.412,mousemove,813,370,,,,,,,1536,738,,,FALSE
3.487,mousemove,821,373,,,,,,,1536,738,,,FALSE
4.586,click,836,369,p,,text-sm,,,,1536,738,,,FALSE
4.786,mousemove,836,370,,,,,,,1536,738,,,FALSE
4.888,mousemove,837,398,,,,,,,1536,738,,,FALSE
4.990,mousemove,837,412,,,,,,,1536,738,,,FALSE
5.100,mousemove,838,437,,,,,,,1536,738,,,FALSE
5.364,mousemove,837,437,,,,,,,1536,738,,,FALSE
5.470,mousemove,829,430,,,,,,,1536,738,,,FALSE
5.600,mousemove,827,426,,,,,,,1536,738,,,FALSE
5.706,mousemove,813,414,,,,,,,1536,738,,,FALSE
5.819,mousemove,807,405,,,,,,,1536,738,,,FALSE
6.014,mousemove,806,404,,,,,,,1536,738,,,FALSE
6.120,mousemove,804,385,,,,,,,1536,738,,,FALSE
6.864,mousemove,803,385,,,,,,,1536,738,,,FALSE
6.968,mousemove,792,381,,,,,,,1536,738,,,FALSE
8.147,mousemove,793,381,,,,,,,1536,738,,,FALSE
8.282,mousemove,820,383,,,,,,,1536,738,,,FALSE
8.386,mousemove,837,370,,,,,,,1536,738,,,FALSE
8.861,mousemove,841,369,,,,,,,1536,738,,,FALSE
8.977,mousemove,846,368,,,,,,,1536,738,,,FALSE
9.106,mousemove,852,364,,,,,,,1536,738,,,FALSE
9.501,mousemove,852,362,,,,,,,1536,738,,,FALSE
9.659,click,852,362,p,,text-sm,,,,1536,738,,,FALSE
9.793,click,852,362,p,,text-sm,,,,1536,738,,,FALSE
9.933,click,852,362,p,,text-sm,,,,1536,738,,,FALSE
10.333,copy,,,,,,,,,,,copy,"Write a function that adds 2 integers and returns their sum

",FALSE
10.333,keydown,,,body,,,c,,,,,,,FALSE
10.707,mousemove,851,362,,,,,,,1536,738,,,FALSE
10.888,mousemove,840,364,,,,,,,1536,738,,,FALSE
11.207,mousemove,833,360,,,,,,,1536,738,,,TRUE
11.456,mousemove,832,358,,,,,,,1536,738,,,TRUE
11.561,mousemove,821,337,,,,,,,1536,738,,,TRUE
11.675,mousemove,816,322,,,,,,,1536,738,,,TRUE
11.779,mousemove,833,213,,,,,,,1536,738,,,TRUE
11.882,mousemove,900,13,,,,,,,1536,738,,,TRUE
12.286,tab-switch,,,,,,,,,,,blur,,TRUE
19.226,tab-switch,,,,,,,,,,,focus,,TRUE
19.751,mousemove,360,1,,,,,,,1536,738,,,TRUE
19.858,mousemove,596,285,,,,,,,1536,738,,,TRUE
20.085,mousemove,692,339,,,,,,,1536,738,,,TRUE
20.191,mousemove,737,381,,,,,,,1536,738,,,TRUE
20.510,click,852,489,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,TRUE
20.758,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,a,,,,,,,TRUE
21.334,paste,,,,,,,,,,,paste,"def add_two_integers(num1, num2):
  """"""
  Adds two integers and returns their sum.

  Args:
    num1",TRUE
21.332,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,v,,,,,,,TRUE
21.647,mousemove,851,489,,,,,,,1536,738,,,TRUE
21.755,mousemove,831,473,,,,,,,1536,738,,,TRUE
21.858,mousemove,824,475,,,,,,,1536,738,,,TRUE
