Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.004,click,356,278,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
1.466,mousemove,357,277,,,,,,,1536,738,,,FALSE
1.574,mousemove,367,269,,,,,,,1536,738,,,FALSE
1.677,mousemove,398,246,,,,,,,1536,738,,,FALSE
1.780,mousemove,518,211,,,,,,,1536,738,,,FALSE
1.883,mousemove,846,205,,,,,,,1536,738,,,FALSE
2.186,mousemove,910,217,,,,,,,1536,738,,,FALSE
2.289,mousemove,1014,211,,,,,,,1536,738,,,FALSE
2.392,mousemove,1050,205,,,,,,,1536,738,,,FALSE
2.650,mousemove,1050,203,,,,,,,1536,738,,,FALSE
2.756,mousemove,818,272,,,,,,,1536,738,,,FALSE
3.043,mousemove,695,308,,,,,,,1536,738,,,FALSE
3.149,mousemove,520,397,,,,,,,1536,738,,,FALSE
3.254,mousemove,388,496,,,,,,,1536,738,,,FALSE
3.362,mousemove,352,527,,,,,,,1536,738,,,FALSE
3.465,mousemove,366,564,,,,,,,1536,738,,,FALSE
3.567,mousemove,440,600,,,,,,,1536,738,,,FALSE
3.671,mousemove,491,609,,,,,,,1536,738,,,FALSE
3.774,mousemove,514,612,,,,,,,1536,738,,,FALSE
3.877,mousemove,541,613,,,,,,,1536,738,,,FALSE
3.980,mousemove,608,616,,,,,,,1536,738,,,FALSE
4.083,mousemove,643,617,,,,,,,1536,738,,,FALSE
4.189,mousemove,658,617,,,,,,,1536,738,,,FALSE
4.292,mousemove,677,615,,,,,,,1536,738,,,FALSE
4.398,mousemove,735,602,,,,,,,1536,738,,,FALSE
4.501,mousemove,798,577,,,,,,,1536,738,,,FALSE
4.678,mousemove,809,570,,,,,,,1536,738,,,FALSE
4.972,mousemove,810,569,,,,,,,1536,738,,,FALSE
5.074,mousemove,822,559,,,,,,,1536,738,,,FALSE
5.176,mousemove,841,509,,,,,,,1536,738,,,FALSE
5.360,mousemove,845,475,,,,,,,1536,738,,,FALSE
5.469,mousemove,846,462,,,,,,,1536,738,,,FALSE
5.586,mousemove,847,447,,,,,,,1536,738,,,FALSE
5.775,mousemove,847,443,,,,,,,1536,738,,,FALSE
7.874,mousemove,851,441,,,,,,,1536,738,,,FALSE
7.986,mousemove,852,456,,,,,,,1536,738,,,FALSE
9.077,mousemove,848,463,,,,,,,1536,738,,,FALSE
9.210,mousemove,849,463,,,,,,,1536,738,,,FALSE
9.313,mousemove,872,449,,,,,,,1536,738,,,FALSE
9.416,mousemove,931,429,,,,,,,1536,738,,,FALSE
9.521,mousemove,1004,385,,,,,,,1536,738,,,FALSE
10.352,mousemove,1033,361,,,,,,,1536,738,,,FALSE
10.459,mousemove,1043,351,,,,,,,1536,738,,,FALSE
