Time (seconds),Event Type,X Coordinate,Y Coordinate,Element Tag,Element ID,Element Class,Key,Scroll X,Scroll Y,Viewport Width,Viewport Height,Action,Data,Is Cheating
0.005,click,382,280,button,,justify-center whitespace-nowrap rounded-md text-sm font-medium ring-offset-background transition-colors focus-visible:outline-none focus-visible:ring-2 focus-visible:ring-ring focus-visible:ring-offset-2 disabled:pointer-events-none disabled:opacity-50 bg-destructive text-destructive-foreground hover:bg-destructive/90 h-10 px-4 py-2 flex items-center space-x-2,,,,1536,738,,,FALSE
0.007,mousemove,382,280,,,,,,,1536,738,,,FALSE
0.116,mousemove,384,280,,,,,,,1536,738,,,FALSE
0.311,mousemove,385,280,,,,,,,1536,738,,,FALSE
0.415,mousemove,456,324,,,,,,,1536,738,,,FALSE
0.519,mousemove,505,348,,,,,,,1536,738,,,FALSE
0.623,mousemove,635,416,,,,,,,1536,738,,,FALSE
0.919,mousemove,703,471,,,,,,,1536,738,,,FALSE
1.026,mousemove,793,547,,,,,,,1536,738,,,FALSE
2.568,mousemove,799,564,,,,,,,1536,738,,,FALSE
2.671,mousemove,671,549,,,,,,,1536,738,,,FALSE
2.776,mousemove,698,533,,,,,,,1536,738,,,FALSE
2.880,mousemove,807,465,,,,,,,1536,738,,,FALSE
2.984,mousemove,850,437,,,,,,,1536,738,,,FALSE
4.443,click,860,429,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,,,,1536,738,,,FALSE
4.794,mousemove,862,423,,,,,,,1536,738,,,FALSE
4.901,mousemove,958,332,,,,,,,1536,738,,,FALSE
5.668,mousemove,1031,354,,,,,,,1536,738,,,FALSE
5.773,mousemove,1087,310,,,,,,,1536,738,,,FALSE
5.880,mousemove,1160,239,,,,,,,1536,738,,,FALSE
6.226,mousemove,1170,196,,,,,,,1536,738,,,FALSE
6.356,mousemove,1135,25,,,,,,,1536,738,,,FALSE
6.481,mousemove,1131,27,,,,,,,1536,738,,,FALSE
6.588,mousemove,1128,32,,,,,,,1536,738,,,FALSE
7.278,mousemove,1128,37,,,,,,,1536,738,,,FALSE
7.382,mousemove,1157,107,,,,,,,1536,738,,,FALSE
11.160,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,w,,,,,,,FALSE
12.687,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
13.819,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,d,,,,,,,FALSE
13.981,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,e,,,,,,,FALSE
14.150,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
14.241,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring, ,,,,,,,FALSE
14.669,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,f,,,,,,,FALSE
14.782,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,u,,,,,,,FALSE
15.815,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
15.995,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,Backspace,,,,,,,FALSE
16.301,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,a,,,,,,,FALSE
16.471,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,d,,,,,,,FALSE
16.626,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,d,,,,,,,FALSE
17.702,keydown,,,textarea,,w-full h-32 p-3 border border-input rounded-md bg-background resize-none focus:outline-none focus:ring-2 focus:ring-ring,(,,,,,,,FALSE
